card_serial|entrances
040017121B6785|{'2020-07-07 11:44:35': 'Arena', '2020-07-07 15:16:38': 'Palazzo della Ragione', '2020-07-07 15:50:50': 'Torre Lamberti', '2020-07-08 11:04:35': 'Castelvecchio'}
040018121B6785|{'2020-01-24 10:01:26': 'Arena', '2020-01-24 11:22:55': 'Casa Giulietta', '2020-01-24 11:56:13': 'Torre Lamberti', '2020-01-24 12:21:46': 'Palazzo della Ragione', '2020-01-24 16:20:04': 'Santa Anastasia', '2020-01-25 15:11:32': 'Teatro Romano', '2020-01-25 16:54:08': 'San Zeno', '2020-01-26 08:58:07': 'Castelvecchio'}
040018F2185081|{'2020-01-26 10:24:18': 'Arena', '2020-01-26 11:07:02': 'Torre Lamberti', '2020-01-26 11:26:50': 'Palazzo della Ragione', '2020-01-26 11:59:08': 'Casa Giulietta', '2020-01-26 14:32:41': 'Santa Anastasia'}
040019121B6785|{'2020-02-08 12:19:13': 'Arena', '2020-02-08 13:54:35': 'Palazzo della Ragione', '2020-02-08 16:04:53': 'Santa Anastasia', '2020-02-09 12:30:54': 'San Fermo'}
04001DF2185085|{'2020-01-11 10:22:37': 'San Zeno', '2020-01-11 11:22:04': 'Castelvecchio', '2020-01-11 12:51:52': 'Arena', '2020-01-11 13:22:33': 'Casa Giulietta', '2020-01-11 14:27:23': 'Santa Anastasia'}
04001EF2185085|{'2020-01-23 10:59:41': 'Arena', '2020-01-23 12:39:39': 'Castelvecchio', '2020-01-23 15:07:36': 'Torre Lamberti', '2020-01-23 15:44:55': 'Santa Anastasia', '2020-01-23 16:04:20': 'Duomo', '2020-01-23 16:38:47': 'Teatro Romano'}
040025F2185085|{'2020-01-26 12:03:13': 'Torre Lamberti', '2020-01-26 13:06:37': 'Santa Anastasia', '2020-01-26 14:50:10': 'Duomo', '2020-01-26 16:49:06': 'Teatro Romano', '2020-01-26 18:23:56': 'Arena'}
040026F2185085|{'2020-01-30 14:20:46': 'Arena', '2020-01-30 15:03:07': 'Casa Giulietta', '2020-01-30 16:12:35': 'Santa Anastasia', '2020-01-30 16:31:17': 'Duomo'}
040027F2185085|{'2020-01-26 11:20:44': 'Arena', '2020-01-26 11:59:00': 'Casa Giulietta', '2020-01-26 13:16:14': 'Torre Lamberti', '2020-01-26 13:48:37': 'Santa Anastasia', '2020-01-26 14:20:56': 'Duomo'}
04002C121B6785|{'2020-02-20 13:30:54': 'Arena', '2020-02-20 14:14:18': 'Casa Giulietta', '2020-02-20 14:58:12': 'Palazzo della Ragione', '2020-02-20 15:54:26': 'Santa Anastasia', '2020-02-20 16:22:04': 'Duomo', '2020-02-22 10:57:22': 'Castelvecchio'}
